epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,6226.69,2.21669,1.18188,1.23329,0.69756,0.38464,0.47673,0.17895,2.33907,1.2158,1.33341,0.0005744,0.0005744,0.0005744
74,6311.37,2.21091,1.18303,1.22804,0.71493,0.38557,0.48427,0.18405,2.31677,1.20693,1.32934,0.0005546,0.0005546,0.0005546
75,6397,2.21953,1.18876,1.24407,0.70466,0.39202,0.48414,0.18305,2.32928,1.19825,1.32896,0.0005348,0.0005348,0.0005348
76,6482.2,2.22587,1.19169,1.2298,0.71503,0.39285,0.48978,0.18655,2.303,1.18551,1.32646,0.000515,0.000515,0.000515
77,6567.52,2.20868,1.18218,1.22902,0.71526,0.39004,0.485,0.18298,2.31717,1.20122,1.32907,0.0004952,0.0004952,0.0004952
78,6652.58,2.22034,1.17822,1.23095,0.7162,0.39587,0.49108,0.18891,2.29523,1.18588,1.31848,0.0004754,0.0004754,0.0004754
79,6736.81,2.19068,1.17659,1.23433,0.71338,0.39383,0.48851,0.18516,2.31153,1.18006,1.32795,0.0004556,0.0004556,0.0004556
80,6820.73,2.20084,1.17848,1.22717,0.71714,0.39512,0.49072,0.18735,2.30962,1.17792,1.32479,0.0004358,0.0004358,0.0004358
81,6905.51,2.19544,1.17774,1.23316,0.7131,0.39691,0.49172,0.18421,2.32827,1.18925,1.33523,0.000416,0.000416,0.000416
82,6992.03,2.20218,1.16822,1.22343,0.70894,0.39826,0.49069,0.18385,2.32877,1.18538,1.33419,0.0003962,0.0003962,0.0003962
83,7077.1,2.19343,1.17064,1.23078,0.70889,0.39566,0.489,0.18414,2.32828,1.18548,1.33298,0.0003764,0.0003764,0.0003764
84,7162.54,2.18593,1.16098,1.22347,0.72282,0.39812,0.49323,0.18713,2.31649,1.17455,1.32925,0.0003566,0.0003566,0.0003566
85,7246.58,2.17763,1.15231,1.22278,0.71651,0.39288,0.48811,0.18514,2.32735,1.18197,1.3338,0.0003368,0.0003368,0.0003368
86,7331.07,2.17338,1.15062,1.21775,0.71287,0.39464,0.48821,0.1848,2.32139,1.18647,1.33302,0.000317,0.000317,0.000317
87,7415.92,2.17541,1.14789,1.21992,0.7108,0.39873,0.49079,0.1858,2.31765,1.1821,1.33164,0.0002972,0.0002972,0.0002972
88,7499.93,2.17538,1.15364,1.22438,0.71574,0.39494,0.4902,0.18465,2.3234,1.18148,1.33312,0.0002774,0.0002774,0.0002774
89,7585.38,2.18606,1.15914,1.21951,0.71124,0.39544,0.48906,0.18444,2.32618,1.18382,1.33515,0.0002576,0.0002576,0.0002576
90,7670.82,2.17228,1.15107,1.21447,0.71811,0.40062,0.49531,0.18732,2.31437,1.16903,1.33152,0.0002378,0.0002378,0.0002378
91,7751.47,2.17108,1.16577,1.25122,0.71498,0.39651,0.48939,0.18391,2.33269,1.17448,1.3398,0.000218,0.000218,0.000218
92,7829.45,2.15478,1.14655,1.23819,0.70702,0.3983,0.49052,0.1851,2.32938,1.1783,1.3369,0.0001982,0.0001982,0.0001982
93,7908.08,2.14811,1.14159,1.2414,0.7096,0.39788,0.49067,0.18516,2.33188,1.17266,1.34138,0.0001784,0.0001784,0.0001784
94,7987.13,2.1507,1.14478,1.23521,0.71378,0.39649,0.48959,0.18588,2.32596,1.17678,1.33603,0.0001586,0.0001586,0.0001586
95,8066.07,2.14439,1.13637,1.23369,0.711,0.39855,0.49137,0.1846,2.33961,1.17265,1.34415,0.0001388,0.0001388,0.0001388
96,8144.52,2.13435,1.13319,1.23824,0.71295,0.39562,0.48888,0.18281,2.34242,1.17612,1.3462,0.000119,0.000119,0.000119
97,8222.86,2.133,1.12858,1.2374,0.71201,0.40063,0.49251,0.18497,2.33663,1.16774,1.34271,9.92e-05,9.92e-05,9.92e-05
98,8301.15,2.12315,1.12473,1.22974,0.70646,0.39909,0.48988,0.18354,2.34078,1.17325,1.34588,7.94e-05,7.94e-05,7.94e-05
99,8379.7,2.13037,1.12918,1.22561,0.71213,0.39923,0.49252,0.18597,2.32981,1.16779,1.34088,5.96e-05,5.96e-05,5.96e-05
100,8458.64,2.12733,1.1271,1.23539,0.71309,0.39804,0.49146,0.18431,2.33911,1.17091,1.34471,3.98e-05,3.98e-05,3.98e-05
